Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
1,2,0.848865195
1,0,1.010405158
0,2,0.934717351
0,0,0.613633697
0,1,0.838178693
0,0,0.717112529
0,1,1.024923403
2,0,0.905386919
0,5,1.086257098
1,2,0.631883013
0,0,1.188647676
0,2,0.853393902
1,7,1.346134693
1,8,0.98444178
0,7,1.381878366
0,6,0.917559599
1,2,1.274084479
0,1,1.149542744
0,0,0.888049606
0,1,1.588775122
1,2,0.973935864
1,3,0.872540448
0,10,1.217547295
0,0,0.727270302
1,4,1.251705055
1,2,1.083615018
0,1,0.801508098
1,1,0.86921656
0,0,1.627514321
1,0,0.816660582
0,0,0.869348857
0,7,0.763990644
3,5,1.071731238
1,6,1.15892779
1,1,1.204686876
0,0,0.660323246
0,2,0.806437386
0,8,1.30639722
1,1,0.692495829
1,0,0.992331136
0,4,1.317518974
0,4,1.069174771
0,2,1.066077356
1,1,0.996585577
0,0,1.32007748
0,8,1.124984906
0,1,1.000171339
1,4,1.825275879
0,2,0.843592141
1,4,0.692806491
0,3,1.081105515
2,13,1.151955772
1,0,0.943274559
0,2,0.993967888
1,9,0.819818087
0,1,0.782314124
0,7,1.045680511
0,3,0.947488637
0,0,1.02019826
0,0,1.014217055
0,0,0.892163554
0,3,1.34376646
0,0,0.89781364
0,1,0.958933858
1,14,1.364113061
0,0,0.995726334
0,0,1.00064612
0,2,1.228048898
1,4,1.13384776
0,10,1.191673607
1,2,0.802126321
0,0,0.959447037
1,2,1.305418763
0,1,0.865760508
2,3,0.964576526
0,3,1.241445848
1,0,1.113386186
1,5,1.50707408
1,0,1.253945342
0,5,1.311774527
2,1,0.980688066
0,0,0.755300071
0,1,1.013811052
0,0,0.695851082
1,13,1.505010347
1,5,1.013296971
0,1,1.102254407
2,0,1.328511898
0,0,0.873849395
1,2,1.006151435
1,9,1.258665489
1,3,1.015355242
1,8,0.825666545
1,1,1.214510771
0,3,0.871827532
0,0,0.809458696
1,2,1.109492476
